### METADATA ###
## USER ##
# id=ctso
# printer=Annex K3
# measure_type=microswitch_probe
# measure_gcode="G28 Z"
# notes=Suboptimal frame thermistor location
# timestamp=2021-07-05_17-46-11
## SCRIPT ##
# data_structure=3
# hot_duration=3
# cool_duration=0
## Z_AXIS ##
# step_dist=0.00125
# max_z=170.0
# homing_speed=5.0
## FRAME_EXPANSION_COMPENSATION ##
# pullup_resistor=4700.0
# sensor_pin=PC2
# z_stepper=stepper_z
# coeff=23.4
# gantry_factor=1.13
# frame_z_length=383.0
# max_z_offset=99999999.0
# sensor_type=100k3950_airtemp
# inline_resistor=0.0
# smooth_time=2.0
# min_temp=0.0
# gcode_id=frame
# max_comp_z=0.0
# max_temp=100.0
### METADATA END ###
sample,time,mcu_pos_z,frame_t,chamber_t,bed_t,bed_target,he_t,he_target
19,2021/07/05-18:05:52,-10310,29.681217408513646,34.55946873014585,104.98916981719883,105.0,100.15781026132439,100.0
20,2021/07/05-18:06:27,-10310,29.824712680867467,34.55946873014585,104.55443433403637,105.0,99.7281330421648,100.0
20,2021/07/05-18:06:39,-10311,29.801920048829253,34.55946873014585,105.14813996952506,105.0,100.24118046930606,100.0
20,2021/07/05-18:06:52,-10312,29.89509173344152,34.607331796718825,105.24721295763695,105.0,99.8265943660208,100.0
21,2021/07/05-18:07:27,-10310,29.959529437359677,34.71477817607587,105.06941563471466,105.0,100.29620252793637,100.0
21,2021/07/05-18:07:40,-10310,29.987289706634012,34.91681297346912,104.80907310743578,105.0,99.75161119452629,100.0
21,2021/07/05-18:07:52,-10309,30.05760353954312,35.04690747502832,104.99041527289205,105.0,100.23505144632186,100.0
22,2021/07/05-18:08:27,-10309,30.199352502194635,35.141212054167966,104.75388211429939,105.0,99.70573723488897,100.0
22,2021/07/05-18:08:40,-10310,30.23940152996021,35.08230212256768,104.95182324427188,105.0,100.3090319516385,100.0
22,2021/07/05-18:08:53,-10310,30.268191752003954,35.18826721699918,105.10992526597558,105.0,99.76496370590473,100.0
23,2021/07/05-18:09:27,-10309,30.303736850681084,35.11766023276374,105.21097427062547,105.0,100.32375682353725,100.0
23,2021/07/05-18:09:40,-10309,30.41468072438751,35.176509477632806,105.0025351802277,105.0,99.71054811841371,100.0
23,2021/07/05-18:09:53,-10309,30.439197528499026,35.25872917583786,105.27894166255835,105.0,100.28218668121765,100.0
24,2021/07/05-18:10:27,-10309,30.559559964034694,35.57403307100941,104.8389802133627,105.0,99.6718006996036,100.0
24,2021/07/05-18:10:40,-10309,30.641928595696108,35.55077595819125,105.18180526960165,105.0,100.33259268816812,100.0
24,2021/07/05-18:10:53,-10310,30.600438084073996,35.60888937093881,105.05401259735414,105.0,99.71053708064184,100.0
25,2021/07/05-18:11:27,-10309,30.704182680602,35.897999437490455,104.93705670256494,105.0,100.32189075092752,100.0
25,2021/07/05-18:11:40,-10309,30.82581558918913,35.82883300140435,104.81960705556142,105.0,99.72169373029125,100.0
25,2021/07/05-18:11:53,-10309,30.78544780160896,36.07031442484072,104.73597934149346,105.0,100.26207926239503,100.0
26,2021/07/05-18:12:28,-10309,30.967525301300448,36.41240425405971,105.17250757778629,105.0,99.64152949644566,100.0
26,2021/07/05-18:12:40,-10310,30.925717341958748,36.378345927043085,105.05944984541121,105.0,100.30258157345585,100.0
26,2021/07/05-18:12:53,-10309,31.02131032948099,36.34425434082664,105.25419982280407,105.0,99.74405743317216,100.0
27,2021/07/05-18:13:28,-10309,31.103816268667423,36.18471809595832,105.27841540685363,105.0,100.32668576750758,100.0
27,2021/07/05-18:13:41,-10309,31.088289305197243,36.321508098906236,105.18211643219504,105.0,99.69885738360215,100.0
